District Names,State/UT,QualityWater,Literacy,AntenatalCare,InstitutionalBirths,Homebirths,BirthBySkilledProfessional,Obesity,Tobacco,Alcohol,PostnatalCare,Safety_Score,Rank
Navsari ,Gujarat,97.4,84.05,94.69,99.26,0.74,99.05,18.73,9.0,1.36,98.23,0.9418853044613609,1
Kasaragod ,Kerala,93.16,95.91,91.18,100.0,0.0,100.0,28.41,3.53,0.12,95.03,0.9390623368454272,2
Kozhikode ,Kerala,93.34,99.05,91.75,100.0,0.0,100.0,30.68,0.78,0.0,90.99,0.9349339768172839,3
Valsad ,Gujarat,98.0,82.93,92.48,96.52,1.99,98.5,21.26,5.25,1.46,95.02,0.9348642305904094,4
Rajkot ,Gujarat,99.5,84.68,93.52,99.28,0.72,100.0,27.97,7.2,0.12,98.05,0.9343758622521154,5
Surat ,Gujarat,98.87,84.18,93.4,97.69,1.13,98.82,25.09,7.67,1.59,96.72,0.933141109263323,6
Mumbai ,Maharastra,100.0,94.26,87.05,99.53,0.0,98.27,25.02,5.25,1.1,90.62,0.9318780629523753,7
Wayanad ,Kerala,94.09,93.72,94.19,100.0,0.0,100.0,26.65,10.6,1.17,95.94,0.931424273720712,8
Mahe ,Puducherry,97.97,99.69,85.0,100.0,0.0,100.0,28.8,1.03,0.55,96.76,0.9309416574466708,9
Kulgam ,Jammu & Kashmir,96.43,70.88,92.19,98.87,0.76,99.63,25.92,3.25,0.06,91.48,0.9289369270942978,10
Diu ,Dadra and Nagar Haveli & Daman and Diu,99.69,90.77,90.71,95.65,1.54,97.19,30.6,1.69,0.4,92.98,0.9286523742056302,11
Tiruchirappalli ,Tamil Nadu,98.08,84.79,90.51,98.6,0.44,99.04,33.5,3.51,0.43,97.57,0.9271088204185133,12
North Twenty Four Pargana ,West Bengal,99.5,85.53,89.91,97.46,0.47,98.34,26.43,7.03,0.4,87.79,0.9266961176333814,13
Osmanabad ,Maharastra,96.41,83.7,89.15,98.08,1.58,99.03,25.14,7.97,0.26,94.44,0.9266129393204645,14
Dadra & Nagar Haveli ,Dadra and Nagar Haveli & Daman and Diu,94.76,72.82,90.9,96.32,1.77,98.09,22.97,3.29,1.38,92.16,0.9264392522614007,15
Malappuram ,Kerala,97.7,99.15,90.42,100.0,0.0,100.0,36.6,1.49,0.19,96.85,0.9262499585449121,16
Karur ,Tamil Nadu,99.36,80.47,95.7,100.0,0.0,99.22,34.71,5.86,0.35,96.41,0.9252960673612101,17
Sivaganga ,Tamil Nadu,96.47,88.03,90.89,100.0,0.0,100.0,33.39,2.37,0.43,89.08,0.9252029782202769,18
Pudukkottai ,Tamil Nadu,95.71,83.71,91.64,100.0,0.0,100.0,31.95,7.59,0.75,95.44,0.9249426697004282,19
Ramanathapuram ,Tamil Nadu,93.89,86.06,88.22,99.63,0.0,99.3,34.06,1.11,0.55,94.91,0.9242656337235904,20
Dharmapuri ,Tamil Nadu,98.72,80.58,94.49,99.59,0.0,99.59,33.38,7.87,0.69,97.95,0.924114488796995,21
Perambalur ,Tamil Nadu,100.0,82.98,92.19,100.0,0.0,100.0,32.88,5.49,0.22,90.08,0.9239504559643283,22
Srinagar ,Jammu & Kashmir,98.45,78.42,85.12,99.21,0.0,99.21,27.75,1.92,0.0,90.88,0.9233119425950178,23
Jammu ,Jammu & Kashmir,99.92,91.54,95.43,96.48,0.48,96.96,38.25,0.82,0.32,92.2,0.9230745644948775,24
Shimla ,Himachal Pradesh,97.29,93.36,85.31,92.23,0.67,91.33,28.4,1.53,0.45,91.6,0.9229429754588924,25
Tiruvannamalai ,Tamil Nadu,98.53,81.66,97.65,99.05,0.0,99.05,37.75,4.82,0.16,98.05,0.9229281177520207,26
Kupwara ,Jammu & Kashmir,88.0,76.01,89.24,97.06,1.98,99.04,21.27,6.8,0.0,90.49,0.9229151331712104,27
Palghar ,Maharastra,91.09,77.61,86.32,94.18,1.92,95.66,17.0,8.28,1.42,96.97,0.9220836355965181,28
Samba ,Jammu & Kashmir,95.43,84.83,96.2,97.85,1.18,99.03,36.45,3.04,0.74,92.33,0.9219511881566562,29
Nagapattinam ,Tamil Nadu,100.0,89.25,93.13,99.65,0.35,100.0,31.86,10.36,0.26,91.91,0.9215997491982024,30
Krishnagiri ,Tamil Nadu,99.77,79.86,93.12,99.6,0.4,100.0,34.5,8.22,0.22,95.5,0.9198705456079003,31
Ariyalur ,Tamil Nadu,93.19,77.44,91.43,100.0,0.0,100.0,33.3,8.7,0.07,95.65,0.9184641277964674,32
Kolhapur ,Maharastra,97.29,90.74,81.75,99.18,0.0,93.6,23.68,9.58,0.0,95.15,0.9182686724817911,33
Sirmaur ,Himachal Pradesh,95.69,84.93,85.23,87.41,0.48,88.19,23.16,4.1,0.33,88.7,0.9181086644103729,34
Kota ,Rajasthan,99.57,77.94,81.34,97.87,0.53,98.97,13.04,9.15,0.3,88.78,0.9179206035901339,35
Shupiyan ,Jammu & Kashmir,99.16,80.81,86.78,98.33,0.4,97.53,27.6,5.04,0.42,84.5,0.9178731084323772,36
Pulwama ,Jammu & Kashmir,97.95,76.59,96.16,97.79,1.3,98.09,37.91,3.33,0.0,95.03,0.917235828242408,37
Kolar ,Karnataka,98.51,78.28,90.91,99.6,0.0,99.27,27.92,12.98,0.34,95.71,0.9170889779929042,38
Dakshina Kannada ,Karnataka,88.62,92.72,82.0,100.0,0.0,91.89,22.16,4.37,0.61,83.5,0.9159756300658438,39
Chennai ,Tamil Nadu,98.72,96.1,89.86,100.0,0.0,100.0,41.85,0.73,0.1,95.02,0.9157253053170242,40
Kachchh ,Gujarat,96.83,75.57,84.15,97.36,0.51,97.61,25.65,8.9,0.33,93.87,0.915564139552274,41
Dindigul ,Tamil Nadu,99.47,81.01,96.21,96.99,1.41,98.59,38.48,6.53,0.09,95.32,0.9149953506085033,42
Chamarajanagar ,Karnataka,99.89,72.36,84.11,100.0,0.0,96.7,30.55,2.78,0.9,94.16,0.9149414039859588,43
Karaikal ,Puducherry,99.88,89.63,88.34,99.55,0.0,99.55,39.3,5.12,0.0,94.99,0.9148522740403556,44
Karnal ,Haryana,99.89,84.46,84.71,98.96,0.5,98.64,36.49,2.63,0.3,97.46,0.9147249786880001,45
Patan ,Gujarat,99.39,71.08,79.81,98.55,0.0,97.07,18.29,6.93,0.21,93.62,0.9147026175956354,46
The Nilgiris ,Tamil Nadu,96.43,90.62,92.46,100.0,0.0,100.0,39.49,6.75,1.07,91.48,0.914169454227372,47
Dharwad ,Karnataka,87.94,81.76,85.21,99.69,0.31,98.97,33.79,6.83,0.46,97.95,0.9140365566882737,48
Tapi ,Gujarat,99.02,72.02,90.96,92.93,1.21,85.16,12.63,10.8,2.31,90.04,0.9138391444791819,49
Erode ,Tamil Nadu,98.9,83.05,93.93,100.0,0.0,100.0,37.05,11.12,0.12,96.46,0.9134596207622361,50
Madurai ,Tamil Nadu,98.71,87.3,89.47,100.0,0.0,100.0,40.82,0.77,0.43,91.36,0.9134261812396304,51
Ramanagara ,Karnataka,98.34,82.67,88.74,100.0,0.0,100.0,36.52,3.61,0.48,86.95,0.9132955846615884,52
Namakkal ,Tamil Nadu,99.45,88.93,97.83,100.0,0.0,100.0,43.23,6.58,0.06,94.78,0.9130234739166482,53
Mandya ,Karnataka,98.43,78.3,90.07,99.45,0.55,97.27,38.67,5.28,0.66,95.52,0.9126471984685905,54
Bilaspur ,Himachal Pradesh,92.85,91.23,81.35,91.7,0.47,87.62,29.14,1.75,0.3,92.92,0.9125616416035551,55
Theni ,Tamil Nadu,99.88,86.94,98.65,100.0,0.0,100.0,45.23,4.29,0.27,97.06,0.9119591771745639,56
South East ,NCT of Delhi,100.0,86.78,83.24,96.14,1.65,97.8,32.95,1.57,0.84,92.25,0.9118632794591236,57
North Goa ,Goa,98.1,92.37,91.29,99.57,0.0,98.6,37.22,2.65,4.35,93.1,0.9113095275778321,58
Porbandar ,Gujarat,96.24,84.33,92.05,100.0,0.0,95.99,27.83,16.66,0.27,97.6,0.9111272542517217,59
Panch Mahals ,Gujarat,90.95,71.67,88.73,88.41,1.65,84.2,16.07,7.76,0.37,87.97,0.9107872507457617,60
Viluppuram ,Tamil Nadu,98.37,77.83,94.88,99.11,0.46,100.0,37.02,8.8,0.15,88.11,0.9106547353794671,61
Kannur ,Kerala,93.88,99.08,78.27,100.0,0.0,100.0,32.36,1.7,0.06,93.35,0.9103727654557949,62
Solan ,Himachal Pradesh,96.47,90.98,88.17,90.22,2.05,86.84,29.73,2.86,0.52,85.93,0.9099604538927708,63
Vellore ,Tamil Nadu,97.68,84.72,95.4,99.53,0.47,100.0,45.38,4.33,0.32,98.64,0.9098702700652226,64
Tirunelveli ,Tamil Nadu,98.08,87.34,84.97,100.0,0.0,100.0,40.19,0.72,0.0,92.87,0.9098598526188877,65
Thiruvarur ,Tamil Nadu,100.0,91.21,92.33,100.0,0.0,100.0,37.15,11.53,0.35,89.5,0.9098122313638862,66
Tiruppur ,Tamil Nadu,99.79,87.49,93.54,100.0,0.0,100.0,44.96,5.74,0.14,98.39,0.9097188102422515,67
Thanjavur ,Tamil Nadu,99.67,86.37,93.66,100.0,0.0,100.0,42.76,7.58,0.45,93.78,0.9095368984426687,68
Bangalore Rural ,Karnataka,97.91,83.81,90.92,100.0,0.0,97.92,33.18,13.12,1.45,91.68,0.9088228674149738,69
Ernakulam ,Kerala,98.16,99.32,82.18,99.12,0.48,100.0,39.64,1.37,0.48,96.05,0.9082586264860365,70
South West ,NCT of Delhi,99.72,88.26,90.97,92.51,0.47,92.98,42.92,1.78,0.62,92.42,0.9081659965672217,71
Mysore ,Karnataka,95.41,78.92,85.74,100.0,0.0,97.82,36.39,6.7,1.56,93.54,0.9079755784173823,72
Balod ,Chhattisgarh,99.49,84.66,81.46,97.35,2.65,99.15,12.16,11.42,1.47,90.84,0.9075488352142655,73
Nagpur ,Maharastra,99.48,94.59,71.44,100.0,0.0,96.63,13.37,5.02,0.38,91.4,0.905869507815303,74
South Goa ,Goa,99.02,93.76,96.04,100.0,0.0,100.0,34.63,2.51,6.97,99.49,0.905152874718316,75
Shahdara ,NCT of Delhi,99.81,85.45,88.91,95.8,1.39,97.19,42.83,1.79,0.72,91.5,0.9048410688803219,76
Salem ,Tamil Nadu,97.64,83.16,85.04,100.0,0.0,100.0,40.27,6.46,0.24,92.88,0.9047445377797516,77
Pathanamthitta ,Kerala,94.07,99.66,83.91,99.07,0.0,99.15,43.84,1.51,0.16,95.24,0.9044373327960221,78
Tumkur ,Karnataka,96.17,81.87,80.35,100.0,0.0,93.07,30.43,9.79,0.81,95.21,0.9043849973905346,79
Sangli ,Maharastra,96.75,90.33,80.09,98.01,1.65,97.63,27.75,11.42,0.21,95.55,0.9042219580277447,80
Mahisagar ,Gujarat,94.79,70.89,76.63,92.98,1.94,92.69,9.43,5.02,0.27,90.9,0.9039417151898252,81
Subarnapur ,Odisha,94.22,79.24,87.78,96.08,0.41,94.95,21.72,17.86,0.75,93.14,0.9039202790374901,82
Amreli ,Gujarat,97.79,77.17,92.59,90.13,2.39,81.16,29.06,4.97,0.39,87.02,0.903634267511647,83
Thrissur ,Kerala,93.67,99.41,82.4,100.0,0.0,100.0,42.84,2.3,0.21,95.17,0.9034260936173489,84
Nayagarh ,Odisha,82.92,81.86,90.27,98.29,0.39,98.36,30.29,16.93,0.27,96.23,0.9031159617089651,85
Solapur ,Maharastra,90.35,76.44,81.92,96.23,0.89,96.25,28.15,10.18,0.31,89.64,0.9028928954458592,86
Y.S.R. ,Andhra Pradesh,99.85,63.76,82.75,99.43,0.57,100.0,33.86,3.07,0.15,92.29,0.9023928042898021,87
Agar Malwa ,Madhya Pradesh,81.43,59.44,76.53,98.88,0.0,93.59,8.81,2.59,0.52,89.94,0.9017699632455355,88
East ,NCT of Delhi,98.36,84.32,89.66,92.57,2.35,94.92,41.25,1.5,0.39,89.97,0.9014789778620913,89
Cuddalore ,Tamil Nadu,99.49,80.46,82.22,99.17,0.43,99.12,35.13,7.54,0.57,87.67,0.9013241966134331,90
Kargil ,Ladakh,90.18,77.22,88.01,93.72,2.57,95.55,26.33,1.85,1.38,78.28,0.9011771192732992,91
Indore ,Madhya Pradesh,98.87,81.71,74.59,96.5,2.6,97.8,19.03,4.61,0.21,92.57,0.900089925675956,92
Raigarh ,Maharastra,87.79,79.15,83.14,96.55,1.05,97.56,23.11,16.21,0.41,93.0,0.8996440390311786,93
Ahmadabad ,Gujarat,98.73,81.47,77.76,94.45,1.24,95.29,30.12,6.16,0.25,89.97,0.8995337398833528,94
Thoothukkudi ,Tamil Nadu,96.97,90.28,80.66,100.0,0.0,100.0,43.4,1.42,0.31,94.83,0.8991372642854698,95
